Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Somalia,3720977,3818389,3918221,4022336,4125823,4228290,4333779,4449505,4777703,5408813,5892224,5934938,5951805,6142513,6369020,6630637,6908579,7158004,7160461,7035378,6999096,6732702,6428142,6620729,6959829,7210930,7472450,7734313,8056862,8384479,8838713,9198493,9550063,9909157,10280998,10644228,10975502,11322582,11663084,11961201,12261757,12348830,12461161,12869595,13339491,13806964,14348740,14916630,15452487,16030971,16651191,17271432,17801897,18358615,19009151,19654739,
South Africa,22368307,23031441,23698507,24382513,25077016,25777965,26480300,27199838,27943445,28697014,29463549,30232562,31022418,31865176,32768207,33752964,34877834,36119333,37393853,38668684,39877570,40910959,41760755,42525441,43267982,43986084,44661604,45285049,45852167,46364682,47159719,47566801,48019415,48500348,48991421,49490033,49998277,50528584,51114599,51728516,52344051,52995205,53782567,54678792,55594839,56723537,57259551,57635162,58613001,59587886,60562381,61502603,62378410,63212384,64007187,64747320,
South Sudan,3342410,3396808,3464715,3542466,3629609,3718279,3808615,3901044,3995911,4092792,4192012,4293866,4398298,4502541,4603039,4706975,4819667,4893809,4814879,4706626,4750817,4867185,4956969,5018173,5142863,5302043,5434894,5589411,5699436,5850145,6032268,6308392,6596807,6903127,7233041,7590143,7976527,8388788,8817647,9243556,9745954,10288109,10756240,11166276,11235073,11107562,10830102,10259154,10122977,10423384,10698467,10865780,11021178,11483374,11943409,12188788,
STP,77583,79226,80835,82472,84189,86038,88078,90299,92659,95018,97210,99170,100932,102650,104497,106607,108967,111610,114513,117445,120343,123084,125648,128182,130666,133077,135413,137656,139790,141808,144019,146375,149922,153814,157705,161640,165638,169700,173793,177854,181802,185650,189439,193148,196767,200291,203689,206971,210187,213392,217435,221961,226305,230872,235537,240254,
Sudan,11305206,11668921,12057260,12469591,12950963,13497544,14066008,14667218,15305806,15973035,16673586,17404336,18128632,18733995,19165837,19517196,19887453,20230532,20453819,20718709,21090886,21453711,21780060,22163251,22703631,23290602,23862258,24454372,25029145,25634162,27816745,28516770,29228727,29896035,30556637,31262444,31992435,32764135,33623980,34569113,35414400,36140806,36923178,37785849,38823318,40024432,41259892,42714307,44230596,45548176,46789231,48066924,49383346,50042791,50448963,51662148,
Tanzania,13618192,14092218,14595699,15123505,15671316,16243826,16838919,17454628,18080006,18698636,19297659,19890931,20499922,21170718,21857176,22569626,23324271,24099416,24844147,25522899,26206012,26890906,27580723,28469017,29598324,30560071,31140734,31785846,32626498,33499773,34260139,35198299,36121304,37089555,38109669,39182076,40294903,41435513,42570728,43633982,44758488,46029367,47374261,48824129,50351512,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617607,68560157,70545865,
Togo,2197383,2267211,2330704,2390909,2450335,2509713,2569671,2630627,2693400,2761241,2838110,2925866,3023343,3126636,3232244,3336509,3439370,3544927,3653420,3763657,3875947,3990216,4106219,4078392,4092612,4279566,4445884,4592550,4728297,4867942,5140037,5277382,5413274,5552167,5696508,5844631,6010669,6188344,6368812,6551866,6732590,6916474,7100736,7285442,7472451,7663196,7858289,8057140,8258778,8463068,8669721,8878379,9089739,9304338,9515236,9721608,
Tunisia,5047404,5182040,5320148,5463650,5613116,5769074,5929998,6092769,6254876,6416191,6578156,6744050,6914964,7091271,7279157,7476092,7675500,7874303,8068789,8256396,8440024,8622853,8802540,8977173,9143142,9294102,9430550,9557948,9677148,9788067,9764936,9869678,9971516,10071632,10166163,10255473,10346410,10441703,10542635,10650681,10765980,10886036,11009647,11141361,11274288,11402264,11528674,11650499,11765515,11875081,11974057,12048623,12119334,12200431,12277109,12348573,
Uganda,10317213,10616339,10885563,11146099,11428676,11730959,12045227,12369253,12702000,13011511,13284026,13563558,13880052,14228932,14617945,15038915,15486807,15974216,16489323,17028544,17586630,18171936,18801967,19462958,20125022,20680831,21249573,21876935,22537658,23279247,24000150,24745676,25532870,26352124,27154515,27963289,28794004,29653431,30539553,31451151,32390802,33354544,34337438,35337042,36395539,37531446,38799152,40177388,41565831,42999638,44457153,45910930,47312720,48656602,50015093,51384894,
Zambia,4281671,4399919,4523581,4653289,4789038,4931250,5079672,5233292,5391355,5553463,5720438,5897482,6090818,6291071,6488072,6686449,6890967,7095186,7294325,7491276,7686401,7880466,8074338,8270918,8474216,8684135,8902019,9133157,9372430,9621239,10017632,10325186,10647949,10983595,11338198,11718819,12129553,12565086,13021324,13490390,13965594,14437796,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513840,19059395,19603608,20152938,20723965,21314956,21913874,
